Method,Path,Service,Category,Security
GET,"/api/v1/users/notifications/preferences",users,patient-management,user + admin
GET,"/api/v1/users/privacy-settings",users,patient-management,user + admin
GET,"/api/v1/users/consent",users,patient-management,user + admin
GET,"/api/v1/users/data-export/:id",users,patient-management,user + admin
PUT,"/api/v1/users/data-export/:id",users,patient-management,user + admin
GET,"/api/v1/users/data-delete/:id",users,patient-management,user + admin
PUT,"/api/v1/users/data-delete/:id",users,patient-management,user + admin
GET,"/api/v1/users/verify-phone",users,patient-management,user + admin
GET,"/api/v1/users/verify-email",users,patient-management,user + admin
GET,"/api/v1/users/two-factor",users,patient-management,user + admin
GET,"/api/v1/users/sessions",users,patient-management,user + admin
GET,"/api/v1/lookup",lookup,patient-management,staff + admin
POST,"/api/v1/lookup",lookup,patient-management,staff + admin
GET,"/api/v1/lookup/:id",lookup,patient-management,staff + admin
PUT,"/api/v1/lookup/:id",lookup,patient-management,staff + admin
DELETE,"/api/v1/lookup/:id",lookup,patient-management,staff + admin
GET,"/api/v1/lookup/endpoint5",lookup,patient-management,staff + admin
GET,"/api/v1/lookup/endpoint6",lookup,patient-management,staff + admin
GET,"/api/v1/lookup/endpoint7",lookup,patient-management,staff + admin
GET,"/api/v1/lookup/endpoint8",lookup,patient-management,staff + admin
GET,"/api/v1/appointments",appointments,patient-management,multi-role
POST,"/api/v1/appointments",appointments,patient-management,multi-role
GET,"/api/v1/appointments/:id",appointments,patient-management,multi-role
POST,"/api/v1/appointments",appointments,patient-management,multi-role
PUT,"/api/v1/appointments/:id",appointments,patient-management,multi-role
DELETE,"/api/v1/appointments/:id",appointments,patient-management,multi-role
GET,"/api/v1/appointments/upcoming",appointments,patient-management,multi-role
GET,"/api/v1/appointments/past",appointments,patient-management,multi-role
GET,"/api/v1/appointments/today",appointments,patient-management,multi-role
GET,"/api/v1/appointments/calendar",appointments,patient-management,multi-role
GET,"/api/v1/appointments/slots",appointments,patient-management,multi-role
GET,"/api/v1/appointments/book",appointments,patient-management,multi-role
POST,"/api/v1/appointments/book",appointments,patient-management,multi-role
GET,"/api/v1/appointments/cancel/:id",appointments,patient-management,multi-role
PUT,"/api/v1/appointments/cancel/:id",appointments,patient-management,multi-role
GET,"/api/v1/appointments/reschedule/:id",appointments,patient-management,multi-role
PUT,"/api/v1/appointments/reschedule/:id",appointments,patient-management,multi-role
GET,"/api/v1/appointments/confirm/:id",appointments,patient-management,multi-role
PUT,"/api/v1/appointments/confirm/:id",appointments,patient-management,multi-role
GET,"/api/v1/appointments/no-show/:id",appointments,patient-management,multi-role
PUT,"/api/v1/appointments/no-show/:id",appointments,patient-management,multi-role
GET,"/api/v1/appointments/complete/:id",appointments,patient-management,multi-role
PUT,"/api/v1/appointments/complete/:id",appointments,patient-management,multi-role
GET,"/api/v1/health-records",healthRecords,medical,hipaa-compliant
POST,"/api/v1/health-records",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/:id",healthRecords,medical,hipaa-compliant
POST,"/api/v1/health-records",healthRecords,medical,hipaa-compliant
PUT,"/api/v1/health-records/:id",healthRecords,medical,hipaa-compliant
DELETE,"/api/v1/health-records/:id",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/upload",healthRecords,medical,hipaa-compliant
POST,"/api/v1/health-records/upload",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/download/:id",healthRecords,medical,hipaa-compliant
PUT,"/api/v1/health-records/download/:id",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/share/:id",healthRecords,medical,hipaa-compliant
PUT,"/api/v1/health-records/share/:id",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/categories",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/search",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/recent",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/archived",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/archive/:id",healthRecords,medical,hipaa-compliant
PUT,"/api/v1/health-records/archive/:id",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/unarchive/:id",healthRecords,medical,hipaa-compliant
PUT,"/api/v1/health-records/unarchive/:id",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/tags",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/tags/:id",healthRecords,medical,hipaa-compliant
PUT,"/api/v1/health-records/tags/:id",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/metadata/:id",healthRecords,medical,hipaa-compliant
PUT,"/api/v1/health-records/metadata/:id",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/versions/:id",healthRecords,medical,hipaa-compliant
PUT,"/api/v1/health-records/versions/:id",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/restore/:id",healthRecords,medical,hipaa-compliant
PUT,"/api/v1/health-records/restore/:id",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/permanent-delete/:id",healthRecords,medical,hipaa-compliant
PUT,"/api/v1/health-records/permanent-delete/:id",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/bulk-upload",healthRecords,medical,hipaa-compliant
POST,"/api/v1/health-records/bulk-upload",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/bulk-download",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/analytics",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/storage-usage",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/cleanup",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/migrate",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/export",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/import",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/templates",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/folders",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/folders/:id",healthRecords,medical,hipaa-compliant
PUT,"/api/v1/health-records/folders/:id",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/move/:id",healthRecords,medical,hipaa-compliant
PUT,"/api/v1/health-records/move/:id",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/copy/:id",healthRecords,medical,hipaa-compliant
PUT,"/api/v1/health-records/copy/:id",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/permissions/:id",healthRecords,medical,hipaa-compliant
PUT,"/api/v1/health-records/permissions/:id",healthRecords,medical,hipaa-compliant
GET,"/api/v1/health-records/audit-trail/:id",healthRecords,medical,hipaa-compliant
PUT,"/api/v1/health-records/audit-trail/:id",healthRecords,medical,hipaa-compliant
GET,"/api/v1/investigations",investigations,medical,lab + medical
POST,"/api/v1/investigations",investigations,medical,lab + medical
GET,"/api/v1/investigations/:id",investigations,medical,lab + medical
POST,"/api/v1/investigations",investigations,medical,lab + medical
PUT,"/api/v1/investigations/:id",investigations,medical,lab + medical
DELETE,"/api/v1/investigations/:id",investigations,medical,lab + medical
GET,"/api/v1/investigations/request",investigations,medical,lab + medical
GET,"/api/v1/investigations/results/:id",investigations,medical,lab + medical
PUT,"/api/v1/investigations/results/:id",investigations,medical,lab + medical
GET,"/api/v1/investigations/pending",investigations,medical,lab + medical
GET,"/api/v1/investigations/completed",investigations,medical,lab + medical
GET,"/api/v1/investigations/categories",investigations,medical,lab + medical
GET,"/api/v1/investigations/tests",investigations,medical,lab + medical
GET,"/api/v1/investigations/tests/:id",investigations,medical,lab + medical
PUT,"/api/v1/investigations/tests/:id",investigations,medical,lab + medical
GET,"/api/v1/investigations/packages",investigations,medical,lab + medical
GET,"/api/v1/investigations/packages/:id",investigations,medical,lab + medical
PUT,"/api/v1/investigations/packages/:id",investigations,medical,lab + medical
GET,"/api/v1/investigations/upload-result/:id",investigations,medical,lab + medical
PUT,"/api/v1/investigations/upload-result/:id",investigations,medical,lab + medical
GET,"/api/v1/investigations/download-result/:id",investigations,medical,lab + medical
PUT,"/api/v1/investigations/download-result/:id",investigations,medical,lab + medical
GET,"/api/v1/investigations/share-result/:id",investigations,medical,lab + medical
PUT,"/api/v1/investigations/share-result/:id",investigations,medical,lab + medical
GET,"/api/v1/investigations/history",investigations,medical,lab + medical
GET,"/api/v1/investigations/trends",investigations,medical,lab + medical
GET,"/api/v1/investigations/analytics",investigations,medical,lab + medical
GET,"/api/v1/investigations/critical-values",investigations,medical,lab + medical
GET,"/api/v1/investigations/abnormal-results",investigations,medical,lab + medical
GET,"/api/v1/investigations/follow-up/:id",investigations,medical,lab + medical
PUT,"/api/v1/investigations/follow-up/:id",investigations,medical,lab + medical
GET,"/api/v1/investigations/notes/:id",investigations,medical,lab + medical
PUT,"/api/v1/investigations/notes/:id",investigations,medical,lab + medical
GET,"/api/v1/investigations/approve/:id",investigations,medical,lab + medical
PUT,"/api/v1/investigations/approve/:id",investigations,medical,lab + medical
GET,"/api/v1/investigations/reject/:id",investigations,medical,lab + medical
PUT,"/api/v1/investigations/reject/:id",investigations,medical,lab + medical
GET,"/api/v1/investigations/retest/:id",investigations,medical,lab + medical
PUT,"/api/v1/investigations/retest/:id",investigations,medical,lab + medical
GET,"/api/v1/pharmacy/orders",pharmacy,medical,pharmacy + medical
GET,"/api/v1/pharmacy/orders/:id",pharmacy,medical,pharmacy + medical
PUT,"/api/v1/pharmacy/orders/:id",pharmacy,medical,pharmacy + medical
GET,"/api/v1/pharmacy/medicines",pharmacy,medical,pharmacy + medical
GET,"/api/v1/pharmacy/medicines/:id",pharmacy,medical,pharmacy + medical
PUT,"/api/v1/pharmacy/medicines/:id",pharmacy,medical,pharmacy + medical
GET,"/api/v1/pharmacy/prescriptions",pharmacy,medical,pharmacy + medical
GET,"/api/v1/pharmacy/prescriptions/:id",pharmacy,medical,pharmacy + medical
PUT,"/api/v1/pharmacy/prescriptions/:id",pharmacy,medical,pharmacy + medical
GET,"/api/v1/pharmacy/cart",pharmacy,medical,pharmacy + medical
GET,"/api/v1/pharmacy/cart/add",pharmacy,medical,pharmacy + medical
POST,"/api/v1/pharmacy/cart/add",pharmacy,medical,pharmacy + medical
GET,"/api/v1/pharmacy/cart/remove/:id",pharmacy,medical,pharmacy + medical
PUT,"/api/v1/pharmacy/cart/remove/:id",pharmacy,medical,pharmacy + medical
GET,"/api/v1/pharmacy/cart/clear",pharmacy,medical,pharmacy + medical
GET,"/api/v1/pharmacy/checkout",pharmacy,medical,pharmacy + medical
GET,"/api/v1/pharmacy/payment/:orderId",pharmacy,medical,pharmacy + medical
GET,"/api/v1/pharmacy/delivery-address",pharmacy,medical,pharmacy + medical
POST,"/api/v1/pharmacy/delivery-address",pharmacy,medical,pharmacy + medical
GET,"/api/v1/pharmacy/delivery-slots",pharmacy,medical,pharmacy + medical
GET,"/api/v1/pharmacy/track/:orderId",pharmacy,medical,pharmacy + medical
GET,"/api/v1/pharmacy/history",pharmacy,medical,pharmacy + medical
GET,"/api/v1/pharmacy/recurring",pharmacy,medical,pharmacy + medical
GET,"/api/v1/pharmacy/recurring/:id",pharmacy,medical,pharmacy + medical
PUT,"/api/v1/pharmacy/recurring/:id",pharmacy,medical,pharmacy + medical
GET,"/api/v1/pharmacy/favorites",pharmacy,medical,pharmacy + medical
GET,"/api/v1/pharmacy/alternatives/:medicineId",pharmacy,medical,pharmacy + medical
GET,"/api/v1/pharmacy/availability/:medicineId",pharmacy,medical,pharmacy + medical
GET,"/api/v1/pharmacy/interactions",pharmacy,medical,pharmacy + medical
GET,"/api/v1/pharmacy/refill/:prescriptionId",pharmacy,medical,pharmacy + medical
GET,"/api/v1/pharmacy/upload-prescription",pharmacy,medical,pharmacy + medical
POST,"/api/v1/pharmacy/upload-prescription",pharmacy,medical,pharmacy + medical
GET,"/api/v1/pharmacy/verify-prescription/:id",pharmacy,medical,pharmacy + medical
PUT,"/api/v1/pharmacy/verify-prescription/:id",pharmacy,medical,pharmacy + medical
GET,"/api/v1/pharmacy/returns",pharmacy,medical,pharmacy + medical
GET,"/api/v1/pharmacy/returns/:id",pharmacy,medical,pharmacy + medical
PUT,"/api/v1/pharmacy/returns/:id",pharmacy,medical,pharmacy + medical
GET,"/api/v1/pharmacy/feedback/:orderId",pharmacy,medical,pharmacy + medical
GET,"/api/v1/feedback",feedback,communication,all users
POST,"/api/v1/feedback",feedback,communication,all users
GET,"/api/v1/feedback/:id",feedback,communication,all users
PUT,"/api/v1/feedback/:id",feedback,communication,all users
DELETE,"/api/v1/feedback/:id",feedback,communication,all users
GET,"/api/v1/feedback/endpoint5",feedback,communication,all users
GET,"/api/v1/feedback/endpoint6",feedback,communication,all users
GET,"/api/v1/feedback/endpoint7",feedback,communication,all users
GET,"/api/v1/feedback/endpoint8",feedback,communication,all users
GET,"/api/v1/feedback/endpoint9",feedback,communication,all users
GET,"/api/v1/feedback/endpoint10",feedback,communication,all users
GET,"/api/v1/feedback/endpoint11",feedback,communication,all users
GET,"/api/v1/sos/trigger",sos,emergency,emergency system
POST,"/api/v1/sos/trigger",sos,emergency,emergency system
GET,"/api/v1/sos/status",sos,emergency,emergency system
GET,"/api/v1/sos/cancel",sos,emergency,emergency system
GET,"/api/v1/sos/history",sos,emergency,emergency system
GET,"/api/v1/sos/contacts",sos,emergency,emergency system
GET,"/api/v1/sos/contacts/:id",sos,emergency,emergency system
PUT,"/api/v1/sos/contacts/:id",sos,emergency,emergency system
GET,"/api/v1/sos/location",sos,emergency,emergency system
GET,"/api/v1/sos/nearest-help",sos,emergency,emergency system
GET,"/api/v1/sos/emergency-info",sos,emergency,emergency system
GET,"/api/v1/sos/medical-info",sos,emergency,emergency system
GET,"/api/v1/sos/test-alert",sos,emergency,emergency system
GET,"/api/v1/sos/settings",sos,emergency,emergency system
GET,"/api/v1/sos/audio-record",sos,emergency,emergency system
GET,"/api/v1/sos/video-record",sos,emergency,emergency system
GET,"/api/v1/sos/live-tracking/:id",sos,emergency,emergency system
PUT,"/api/v1/sos/live-tracking/:id",sos,emergency,emergency system
GET,"/api/v1/sos/responders",sos,emergency,emergency system
GET,"/api/v1/sos/assign-responder/:alertId",sos,emergency,emergency system
GET,"/api/v1/sos/escalate/:alertId",sos,emergency,emergency system
GET,"/api/v1/sos/resolve/:alertId",sos,emergency,emergency system
GET,"/api/v1/sos/false-alarm/:alertId",sos,emergency,emergency system
GET,"/api/v1/sos/statistics",sos,emergency,emergency system
GET,"/api/v1/sos/heatmap",sos,emergency,emergency system
GET,"/api/v1/sos/response-times",sos,emergency,emergency system
GET,"/api/v1/sos/drill",sos,emergency,emergency system
GET,"/api/v1/sos/drill/:id",sos,emergency,emergency system
PUT,"/api/v1/sos/drill/:id",sos,emergency,emergency system
GET,"/api/v1/sos/feedback/:alertId",sos,emergency,emergency system
GET,"/api/v1/sos/integration/police",sos,emergency,emergency system
GET,"/api/v1/sos/integration/ambulance",sos,emergency,emergency system
GET,"/api/v1/sos/integration/fire",sos,emergency,emergency system
GET,"/api/v1/sos/bulk-alert",sos,emergency,emergency system
GET,"/api/v1/sos/zone-alert",sos,emergency,emergency system
GET,"/api/v1/sos/evacuation",sos,emergency,emergency system
GET,"/api/v1/sos/all-clear",sos,emergency,emergency system
GET,"/api/v1/sos/incident-report/:alertId",sos,emergency,emergency system
GET,"/api/v1/sos/follow-up/:alertId",sos,emergency,emergency system
GET,"/api/v1/sos/training",sos,emergency,emergency system
GET,"/api/v1/sos/resources",sos,emergency,emergency system
GET,"/api/v1/sos/protocols",sos,emergency,emergency system
GET,"/api/v1/sos/emergency-codes",sos,emergency,emergency system
GET,"/api/v1/sos/panic-button/activate",sos,emergency,emergency system
GET,"/api/v1/sos/panic-button/deactivate",sos,emergency,emergency system
GET,"/api/v1/sos/safe-word",sos,emergency,emergency system
GET,"/api/v1/sos/geofence",sos,emergency,emergency system
GET,"/api/v1/departments",departments,hospital-structure,staff + admin
POST,"/api/v1/departments",departments,hospital-structure,staff + admin
GET,"/api/v1/departments/:id",departments,hospital-structure,staff + admin
PUT,"/api/v1/departments/:id",departments,hospital-structure,staff + admin
DELETE,"/api/v1/departments/:id",departments,hospital-structure,staff + admin
GET,"/api/v1/departments/endpoint5",departments,hospital-structure,staff + admin
GET,"/api/v1/departments/endpoint6",departments,hospital-structure,staff + admin
GET,"/api/v1/departments/endpoint7",departments,hospital-structure,staff + admin
GET,"/api/v1/departments/endpoint8",departments,hospital-structure,staff + admin
GET,"/api/v1/departments/endpoint9",departments,hospital-structure,staff + admin
GET,"/api/v1/departments/endpoint10",departments,hospital-structure,staff + admin
GET,"/api/v1/departments/endpoint11",departments,hospital-structure,staff + admin
GET,"/api/v1/departments/endpoint12",departments,hospital-structure,staff + admin
GET,"/api/v1/departments/endpoint13",departments,hospital-structure,staff + admin
GET,"/api/v1/doctors",doctors,hospital-structure,multi-role
POST,"/api/v1/doctors",doctors,hospital-structure,multi-role
GET,"/api/v1/doctors/:id",doctors,hospital-structure,multi-role
PUT,"/api/v1/doctors/:id",doctors,hospital-structure,multi-role
DELETE,"/api/v1/doctors/:id",doctors,hospital-structure,multi-role
GET,"/api/v1/doctors/endpoint5",doctors,hospital-structure,multi-role
GET,"/api/v1/doctors/endpoint6",doctors,hospital-structure,multi-role
GET,"/api/v1/doctors/endpoint7",doctors,hospital-structure,multi-role
GET,"/api/v1/doctors/endpoint8",doctors,hospital-structure,multi-role
GET,"/api/v1/doctors/endpoint9",doctors,hospital-structure,multi-role
GET,"/api/v1/doctors/endpoint10",doctors,hospital-structure,multi-role
GET,"/api/v1/doctors/endpoint11",doctors,hospital-structure,multi-role
GET,"/api/v1/doctors/endpoint12",doctors,hospital-structure,multi-role
GET,"/api/v1/doctors/endpoint13",doctors,hospital-structure,multi-role
GET,"/api/v1/version",version,system,public + admin
POST,"/api/v1/version",version,system,public + admin
GET,"/api/v1/version/:id",version,system,public + admin
PUT,"/api/v1/version/:id",version,system,public + admin
DELETE,"/api/v1/version/:id",version,system,public + admin
GET,"/api/v1/version/endpoint5",version,system,public + admin
GET,"/api/v1/version/endpoint6",version,system,public + admin
GET,"/api/v1/version/endpoint7",version,system,public + admin
GET,"/api/v1/version/endpoint8",version,system,public + admin
GET,"/api/v1/version/endpoint9",version,system,public + admin
GET,"/api/v1/health",health,system,public + protected
POST,"/api/v1/health",health,system,public + protected
GET,"/api/v1/health/:id",health,system,public + protected
PUT,"/api/v1/health/:id",health,system,public + protected
DELETE,"/api/v1/health/:id",health,system,public + protected
GET,"/api/v1/health/endpoint5",health,system,public + protected
GET,"/api/v1/health/endpoint6",health,system,public + protected
GET,"/api/v1/health/endpoint7",health,system,public + protected
GET,"/api/v1/health/endpoint8",health,system,public + protected
GET,"/api/v1/health/endpoint9",health,system,public + protected
GET,"/api/v1/health/endpoint10",health,system,public + protected
GET,"/api/v1/health/endpoint11",health,system,public + protected
GET,"/api/v1/health/endpoint12",health,system,public + protected
GET,"/api/v1/health/endpoint13",health,system,public + protected
GET,"/api/v1/upload",upload,file-management,role-based
POST,"/api/v1/upload",upload,file-management,role-based
GET,"/api/v1/upload/single",upload,file-management,role-based
GET,"/api/v1/upload/multiple",upload,file-management,role-based
GET,"/api/v1/upload/chunk",upload,file-management,role-based
GET,"/api/v1/upload/chunk/:uploadId",upload,file-management,role-based
GET,"/api/v1/upload/resume/:uploadId",upload,file-management,role-based
GET,"/api/v1/upload/cancel/:uploadId",upload,file-management,role-based
GET,"/api/v1/upload/status/:uploadId",upload,file-management,role-based
GET,"/api/v1/upload/validate",upload,file-management,role-based
GET,"/api/v1/upload/scan/:fileId",upload,file-management,role-based
GET,"/api/v1/upload/process/:fileId",upload,file-management,role-based
GET,"/api/v1/upload/thumbnail/:fileId",upload,file-management,role-based
GET,"/api/v1/upload/preview/:fileId",upload,file-management,role-based
GET,"/api/v1/upload/download/:fileId",upload,file-management,role-based
GET,"/api/v1/upload/share/:fileId",upload,file-management,role-based
GET,"/api/v1/upload/delete/:fileId",upload,file-management,role-based
GET,"/api/v1/upload/archive/:fileId",upload,file-management,role-based
GET,"/api/v1/upload/restore/:fileId",upload,file-management,role-based
